
> tab_agg1
   weeks                                           pattern  N      P
1:    52 4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13) 43 0.1075
2:    52 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) 58 0.1450
3:    52 4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) 56 0.1400
4:    52 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) 58 0.1450
5:    52 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13) 13 0.0325
6:    52 5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13) 44 0.1100
7:    52 5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13) 57 0.1425
8:    53 5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) 58 0.1450
9:    53 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13) 13 0.0325

> sink()
