
> tab_agg2
    leap.year weeks                                           pattern  N      P
 1:     FALSE    52 4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13) 43 0.1075
 2:     FALSE    52 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) 43 0.1075
 3:     FALSE    52 4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) 43 0.1075
 4:     FALSE    52 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) 43 0.1075
 5:     FALSE    52 5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13) 44 0.1100
 6:     FALSE    52 5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13) 43 0.1075
 7:     FALSE    53 5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) 44 0.1100
 8:      TRUE    52 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) 15 0.0375
 9:      TRUE    52 4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) 13 0.0325
10:      TRUE    52 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) 15 0.0375
11:      TRUE    52 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13) 13 0.0325
12:      TRUE    52 5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13) 14 0.0350
13:      TRUE    53 5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) 14 0.0350
14:      TRUE    53 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13) 13 0.0325

> sink()
