year	leap.year	weeks	pattern
2000	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2001	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2002	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2003	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2004	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2005	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2006	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2007	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2008	TRUE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2009	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2010	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2011	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2012	TRUE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2013	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2014	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2015	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2016	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2017	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2018	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2019	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2020	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2021	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2022	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2023	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2024	TRUE	52	4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2025	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2026	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2027	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2028	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2029	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2030	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2031	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2032	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2033	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2034	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2035	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2036	TRUE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2037	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2038	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2039	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2040	TRUE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2041	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2042	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2043	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2044	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2045	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2046	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2047	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2048	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2049	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2050	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2051	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2052	TRUE	52	4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2053	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2054	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2055	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2056	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2057	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2058	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2059	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2060	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2061	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2062	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2063	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2064	TRUE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2065	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2066	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2067	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2068	TRUE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2069	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2070	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2071	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2072	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2073	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2074	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2075	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2076	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2077	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2078	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2079	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2080	TRUE	52	4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2081	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2082	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2083	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2084	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2085	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2086	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2087	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2088	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2089	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2090	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2091	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2092	TRUE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2093	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2094	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2095	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2096	TRUE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2097	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2098	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2099	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2100	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2101	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2102	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2103	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2104	TRUE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2105	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2106	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2107	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2108	TRUE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2109	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2110	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2111	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2112	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2113	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2114	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2115	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2116	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2117	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2118	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2119	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2120	TRUE	52	4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2121	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2122	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2123	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2124	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2125	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2126	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2127	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2128	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2129	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2130	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2131	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2132	TRUE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2133	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2134	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2135	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2136	TRUE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2137	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2138	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2139	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2140	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2141	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2142	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2143	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2144	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2145	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2146	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2147	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2148	TRUE	52	4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2149	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2150	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2151	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2152	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2153	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2154	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2155	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2156	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2157	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2158	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2159	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2160	TRUE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2161	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2162	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2163	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2164	TRUE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2165	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2166	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2167	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2168	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2169	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2170	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2171	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2172	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2173	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2174	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2175	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2176	TRUE	52	4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2177	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2178	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2179	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2180	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2181	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2182	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2183	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2184	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2185	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2186	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2187	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2188	TRUE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
